"problem_id","topic_id","problem_title","problem_description","difficulty","expected_output","hints"
"1","100","Sorting Visualizer,Design a program that visualizes the bubble sort algorithm using a graphical interface (e.g., Python with Tkinter), showing array changes step-by-step.,Intermediate","A window displaying bars being sorted with color changes","- Use a list to represent bars; update colors on each swap."
"2","100","Efficient Search Tool,Implement a binary search algorithm in any language to find an element in a sorted array, with a function to measure execution time.,Beginner,A function returning the index and time taken (e.g."," in milliseconds)","- Ensure the array is sorted first; use time module in Python."
"3","101","Linked List Manager,Create a program to manage a linked list with functions to add, remove, and display nodes (e.g., in C or Python).,Intermediate","A console output listing nodes after operations","- Use a Node class with next pointer; test with 5 elements."
"4","101","Binary Tree Simulator,Design a binary tree data structure with methods to insert and traverse (in-order) in Java, outputting the traversal result.,Intermediate,Console output of in-order traversal (e.g."," 1 2 3)","- Start with a TreeNode class; implement recursive traversal."
"5","102","Vehicle Class Hierarchy,Develop a Java class hierarchy with a Vehicle base class and derived classes Car and Motorcycle, including a method to calculate fuel needs.,Intermediate,Output of fuel needs for a Car (e.g."," 50 liters)","- Use inheritance; add attributes like fuel efficiency."
"6","102","Game Object System,Create a Python OOP system with a GameObject class and subclasses Player and Enemy, with methods for movement and health tracking.,Intermediate","A console log of player/enemy positions and health","- Implement polymorphism for movement."
"7","103","Database Query Tool,Build a SQL script to create a table for employees (id, name, salary) and write a query to find the highest-paid employee.,Beginner","A query result showing one employee record","- Use CREATE TABLE and SELECT MAX(salary)."
"8","103","Multi-Table Join,Write a SQL query to join an employees table with a departments table and list all employee-department pairs.,Intermediate","Console output: joined table rows","- Use JOIN and test with 5 records each."
"9","104","Network Ping Simulator,Create a Python script to simulate a network ping test, calculating average response time for 5 virtual nodes.,Intermediate","Console output: ""Average ping: 50ms""","- Use random delays and a loop."
"10","104","Packet Sniffer Simulator,Design a Python script to simulate capturing and logging 10 network packets with timestamps.,Intermediate","Console output: packet log","- Use datetime.now() and a list."
"11","105","AI Chatbot Prototype,Design a simple Python chatbot that responds with predefined answers to basic greetings (e.g., ""hi"" → ""Hello!"").,Intermediate,Console output: ""User: hi"," Bot: Hello!""","- Use if-elif for responses; store in a dictionary."
"12","105","ML Image Classifier,Build a Python script using scikit-learn to classify 20 images into 2 categories.,Advanced","Console output: accuracy score","- Use a simple dataset and train_test_split."
"13","106","Cybersecurity Scanner,Write a Python script to check if a list of 5 passwords meets basic security rules (length > 8, has digit).,Beginner,Console output: ""Password1: Secure"," Password2: Insecure""","- Use string methods like len() and isdigit()."
"14","106","Encryption Decryptor,Create a Python script to decrypt a message encrypted with a Caesar cipher (shift 3).,Intermediate","Console output: ""def"" → ""abc""","- Use modulo 26 and reverse shift."
"15","107","OS Process Monitor,Develop a C program to list the current processes (e.g., using system calls) and print their IDs.,Intermediate","Console output: list of PIDs","- Use system(""ps"") on Unix or Windows equivalent."
"16","107","File System Navigator,Write a C program to traverse a directory and list all files with their sizes.,Intermediate","Console output: file list with sizes","- Use opendir() and stat()."
"17","108","Web Accessibility Checker,Create an HTML page with a form and add ARIA labels to ensure accessibility for screen readers.,Beginner","A webpage with accessible form elements","- Use aria-label and test with a screen reader."
"18","108","Responsive Form Design,Enhance the HTML form with CSS media queries for mobile responsiveness (max-width: 600px).,Intermediate","A webpage adjusting layout on mobile","- Use @media query to adjust form width."
"19","109","Cloud Cost Estimator,Build a Python script to calculate the estimated monthly cost of AWS EC2 instances based on user input (e.g., 2 instances, 10 hours).,Intermediate,Console output: ""Estimated cost: $10""","- Use a simple rate formula (e.g."," $0.05/hour)."
"20","109","Cloud Load Balancer,Simulate a Python script to distribute 100 requests across 3 cloud servers.,Intermediate","Console output: request distribution","- Use random allocation."
"21","110","Algorithm Optimizer,Implement a Python function to optimize a recursive Fibonacci calculation using memoization.,Intermediate","Console output: ""Fib(10) = 55"" (faster execution)","- Use a dictionary to cache results."
"22","110","Dynamic Programming Solver,Write a Python script to solve the knapsack problem for 5 items using DP.,Advanced,Console output: max value (e.g."," 15)","- Use a 2D array for DP table."
"23","111","Graph Path Finder,Design a Java program to find the shortest path in a graph using Dijkstra’s algorithm, with 5 nodes.,Intermediate","Console output: ""Shortest path: 0-2-4""","- Use a priority queue and adjacency list."
"24","111","Graph Cycle Detector,Create a Python script to detect cycles in a directed graph with 5 nodes.,Intermediate","Console output: ""Cycle detected: Yes""","- Use DFS with visited sets."
"25","112","Functional Calculator,Write a Haskell function to perform addition using a curried approach, testable with inputs 5 and 3.,Intermediate","Console output: ""8""","- Use lambda or currying syntax."
"26","112","Functional List Filter,Design a Haskell function to filter a list for numbers > 5, testable with [1..10].,Intermediate,Console output: [6,7,8,9","10]","- Use filter and (>5)."
"27","113","Parallel Matrix Multiply,Create a Python script using multiprocessing to multiply two 3x3 matrices in parallel.,Intermediate","Console output: 3x3 result matrix","- Use Pool from multiprocessing module."
"28","113","Parallel Data Processor,Write a Python script to process 100 data points in parallel using threading.,Intermediate","Console output: processed results","- Use ThreadPoolExecutor."
"29","114","Compiler Lexer,Build a simple lexer in Python that tokenizes a basic arithmetic expression (e.g., ""2 + 3"").,Advanced,Console output: [""2"", ""+"""," ""3""]","- Use regular expressions to split tokens."
"30","114","Parser Generator,Create a Python script to generate a parse tree for ""2 + 3 * 4"" using a simple grammar.,Advanced","Console output: tree structure","- Use recursive descent."
"31","115","SE Project Tracker,Design a Java application to track project tasks with a class Task (title, status), storing 3 tasks.,Intermediate","Console output: list of tasks","- Use an ArrayList to store Task objects."
"32","115","Agile Sprint Planner,Write a Python script to plan a sprint with 5 tasks and estimate completion dates.,Intermediate","Console output: task schedule","- Use datetime for dates."
"33","116","IoT Sensor Simulator,Create a Python script to simulate an IoT sensor sending temperature readings (e.g., 25°C) every second.,Intermediate","Console output: ""Temp: 25°C"" every second","- Use time.sleep() and a loop."
"34","116","IoT Data Logger,Build a Python script to log IoT sensor data to a file with timestamps.,Intermediate","File with timestamped data","- Use with open() and time.ctime()."
"35","117","Mobile App Layout,Design a basic Android layout XML file for a to-do list app with a text input and button.,Beginner","A renderable layout in Android Studio","- Use LinearLayout and EditText."
"36","117","Mobile Notification System,Create a Kotlin app to send a notification when a button is clicked.,Intermediate","A notification on button press","- Use NotificationManager."
"37","118","Quantum Circuit Builder,Write a Python script using Qiskit to create a simple quantum circuit with one qubit and measure it.,Intermediate","Console output: measurement result (0 or 1)","- Use QuantumCircuit and execute on a simulator."
"38","118","Quantum Phase Estimator,Implement a quantum phase estimation algorithm in Python with Qiskit.,Advanced","Console output: estimated phase","- Use QPE circuit."
"39","119","Blockchain Transaction Log,Build a Python script to simulate a blockchain by logging 3 transactions in a list with timestamps.,Intermediate","Console output: list of transactions with times","- Use datetime.now() for timestamps."
"40","119","Smart Contract Simulator,Create a Python script to simulate a smart contract for a voting system with 3 votes.,Intermediate","Console output: vote tally","- Use a dictionary for votes."
"41","120","Graphics Shader Effect,Create a basic OpenGL shader (vertex + fragment) to apply a color gradient to a triangle.,Advanced","A rendered triangle with gradient","- Use GLSL and glShaderSource."
"42","120","3D Model Renderer,Write a Python script using Pygame to render a rotating 3D cube.,Advanced","A window with rotating cube","- Use PyOpenGL and rotation matrices."
"43","121","HCI Form Design,Design an HTML form for user feedback with CSS styling for usability (e.g., large buttons).,Intermediate,A webpage with styled"," accessible form","- Use CSS for button size and padding."
"44","121","Usability Test Script,Create a Python script to log user interactions with a webpage form (e.g., 5 clicks).,Intermediate","Console output: interaction log","- Use pynput for mouse tracking."
"45","122","Distributed Key-Value Store,Implement a Python program to simulate a distributed key-value store with 3 nodes.,Advanced","Console output: key-value pairs across nodes","- Use dictionaries and simulate node communication."
"46","122","Distributed Consensus,Write a Python script to simulate a Raft consensus algorithm with 3 nodes.,Advanced","Console output: ""Leader elected""","- Use a simple state machine."
"47","123","Robotics Arm Simulator,Write a Python script to simulate a robotic arm’s movement (e.g., rotate 90 degrees) using coordinates.,Intermediate,Console output: ""Arm at (10"," 20)""","- Use a simple coordinate system."
"48","123","Robot Path Planner,Design a Python script to plan a path for a robot avoiding 3 obstacles.,Intermediate","Console output: ""Path found""","- Use A* algorithm."
